timestamp,can_id,dlc,data_hex
0.0,0xc0,8,f323dc0100000000
0.0,0xc1,8,241a450800000000
0.0,0xc2,4,89000000
0.0,0xc3,4,a3000000
0.0,0x1a0,8,181a1b1a271a501a
0.0,0x1b0,4,04370000
0.0,0x320,3,000100
0.0,0x3e0,4,c202f202
0.01,0xc0,8,6b25c60100000000
0.01,0xc1,8,431aa90700000000
0.01,0x1a0,8,151a701a4c1a6d1a
0.01,0x320,3,000100
0.02,0xc0,8,6326bf0100000000
0.02,0xc1,8,441a440800000000
0.02,0xc2,4,91000000
0.02,0xc3,4,2cff0000
0.02,0x1a0,8,6d1a0f1a3b1a0e1a
0.02,0x320,3,000100
0.03,0xc0,8,5e26010200000000
0.03,0xc1,8,421a140800000000
0.03,0x1a0,8,471a321a581a1f1a
0.03,0x320,3,010000
0.04,0xc0,8,cb25f40100000000
0.04,0xc1,8,431adc0700000000
0.04,0xc2,4,83150000
0.04,0xc3,4,44000000
0.04,0x1a0,8,651a6b1a2e1a641a
0.04,0x320,3,000000
0.05,0xc0,8,3626c60100000000
0.05,0xc1,8,471a270800000000
0.05,0x1a0,8,4d1a191a711a1a1a
0.05,0x320,3,000000
0.06,0xc2,4,85160000
0.06,0xc3,4,64ff0000
0.06,0xc0,8,2e270d0200000000
0.06,0xc1,8,4c1a750700000000
0.06,0x1a0,8,201a4c1a2a1a661a
0.06,0x320,3,000000
0.07,0xc0,8,f126f50100000000
0.07,0xc1,8,4e1a080800000000
0.07,0x1a0,8,411a401a3c1a751a
0.07,0x320,3,000000
0.08,0xc0,8,d426050200000000
0.08,0xc1,8,511a600800000000
0.08,0xc2,4,700c0000
0.08,0xc3,4,94ff0000
0.08,0x1a0,8,611a521a831a451a
0.08,0x320,3,000100
0.09,0xc0,8,c525ba0100000000
0.09,0xc1,8,541ac90700000000
0.09,0x1a0,8,5e1a391a4f1a501a
0.09,0x320,3,000000
0.1,0xc0,8,5125b60100000000
0.1,0xc1,8,521a8f0700000000
0.1,0x1a0,8,591a3b1a7b1a401a
0.1,0x320,3,000100
0.1,0xc2,4,7f050000
0.1,0xc3,4,74ff0000
0.1,0x1b0,4,04370000
0.1,0x3e0,4,c802f102
0.11,0xc0,8,9224d20100000000
0.11,0xc1,8,511a230800000000
0.11,0x1a0,8,3d1a201a211a381a
0.11,0x320,3,000100
0.12,0xc0,8,2826de0100000000
0.12,0xc1,8,4d1a170700000000
0.12,0x1a0,8,561a5c1a7e1a781a
0.12,0x320,3,010100
0.12,0xc2,4,79150000
0.12,0xc3,4,e1fe0000
0.13,0xc0,8,1b270b0200000000
0.13,0xc1,8,4e1a1b0700000000
0.13,0x1a0,8,451a5b1a761a341a
0.13,0x320,3,000100
0.14,0xc0,8,e126f20100000000
0.14,0xc1,8,511a130800000000
0.14,0x1a0,8,771a531a5a1a751a
0.14,0x320,3,010000
0.14,0xc2,4,75080000
0.14,0xc3,4,2b010000
0.15,0xc0,8,6526cf0100000000
0.15,0xc1,8,551a130800000000
0.15,0x1a0,8,691a481a811a2f1a
0.15,0x320,3,000100
