timestamp,can_id,dlc,data_hex
0.0,0xc0,8,24311a0200000000
0.0,0xc1,8,9c2b2a0800000000
0.0,0xc2,4,72000000
0.0,0xc3,4,d6fe0000
0.0,0x1a0,8,6a2b752bc62b7a2b
0.0,0x1b0,4,064b0000
0.0,0x320,3,010100
0.0,0x3e0,4,a203c803
0.01,0xc0,8,c8310f0200000000
0.01,0xc1,8,a22b340700000000
0.01,0x1a0,8,9e2bbd2b9b2bc12b
0.01,0x320,3,010000
0.02,0xc0,8,bb32f70100000000
0.02,0xc1,8,a42b420800000000
0.02,0xc2,4,7d030000
0.02,0xc3,4,1a010000
0.02,0x1a0,8,862b8d2b772bbe2b
0.02,0x320,3,000000
0.03,0xc0,8,9e321f0200000000
0.03,0xc1,8,a52b2e0800000000
0.03,0x1a0,8,ae2b9b2b822b9f2b
0.03,0x320,3,010100
0.04,0xc0,8,cc30160200000000
0.04,0xc1,8,a42b270700000000
0.04,0xc2,4,7c000000
0.04,0xc3,4,ba000000
0.04,0x1a0,8,842bb42bcd2ba62b
0.04,0x320,3,000100
0.05,0xc0,8,2e32d90100000000
0.05,0xc1,8,a12b650700000000
0.05,0x1a0,8,972b722b892b762b
0.05,0x320,3,000100
0.06,0xc2,4,8d190000
0.06,0xc3,4,08010000
0.06,0xc0,8,7c30040200000000
0.06,0xc1,8,a52b040800000000
0.06,0x1a0,8,952b962b942bc22b
0.06,0x320,3,010100
0.07,0xc0,8,7431f50100000000
0.07,0xc1,8,a12b400700000000
0.07,0x1a0,8,bf2bbd2bcf2bb32b
0.07,0x320,3,000000
0.08,0xc0,8,7830250200000000
0.08,0xc1,8,a22b780800000000
0.08,0xc2,4,7b000000
0.08,0xc3,4,f4000000
0.08,0x1a0,8,b12b882b752bb82b
0.08,0x320,3,000000
0.09,0xc0,8,c030270200000000
0.09,0xc1,8,9f2b0e0800000000
0.09,0x1a0,8,c62b7e2bbc2ba32b
0.09,0x320,3,010000
0.1,0xc0,8,e030d80100000000
